version4id,ccode1,state_name1,ccode2,state_name2,dyad_st_day,dyad_st_month,dyad_st_year,dyad_end_day,dyad_end_month,dyad_end_year,left_censor,right_censor,defense,neutrality,nonaggression,entente,asymmetric,version
1,200,"United Kingdom",235,"Portugal",1,1,1816,,,,1,1,1,0,1,0,0,4.1
2,200,"United Kingdom",380,"Sweden",1,1,1816,15,2,1911,1,0,0,0,0,1,0,4.1
3,240,"Hanover",245,"Bavaria",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",245,"Bavaria",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",255,"Germany",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",255,"Germany",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",267,"Baden",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",267,"Baden",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",269,"Saxony",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",269,"Saxony",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",271,"Wuerttemburg",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",271,"Wuerttemburg",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",273,"Hesse Electoral",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",273,"Hesse Electoral",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",275,"Hesse Grand Ducal",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",275,"Hesse Grand Ducal",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",280,"Mecklenburg Schwerin",1,1,1843,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",280,"Mecklenburg Schwerin",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,240,"Hanover",300,"Austria-Hungary",1,1,1838,15,3,1848,0,0,1,0,1,1,0,4.1
3,240,"Hanover",300,"Austria-Hungary",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,245,"Bavaria",255,"Germany",1,1,1816,15,3,1848,1,0,1,0,1,1,0,4.1
3,245,"Bavaria",255,"Germany",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,245,"Bavaria",267,"Baden",1,1,1816,15,3,1848,1,0,1,0,1,1,0,4.1
3,245,"Bavaria",267,"Baden",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,245,"Bavaria",269,"Saxony",1,1,1816,15,3,1848,1,0,1,0,1,1,0,4.1
3,245,"Bavaria",269,"Saxony",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
3,245,"Bavaria",271,"Wuerttemburg",1,1,1816,15,3,1848,1,0,1,0,1,1,0,4.1
3,245,"Bavaria",271,"Wuerttemburg",29,11,1850,15,6,1866,0,0,1,0,1,1,0,4.1
