stateabb,ccode,styear,stmonth,stday,endyear,endmonth,endday,version
"USA",2,1898,8,13,2011,12,31,2011
"UKG",200,1816,1,1,2011,12,31,2011
"FRN",220,1816,1,1,1940,6,22,2011
"FRN",220,1945,8,15,2011,12,31,2011
"GMY",255,1816,1,1,1918,11,11,2011
"GMY",255,1925,1,1,1945,5,7,2011
"GMY",255,1991,12,11,2011,12,31,2011
"AUH",300,1816,1,1,1918,11,3,2011
"ITA",325,1860,1,1,1943,9,2,2011
"USR",365,1816,1,1,1917,12,5,2011
"USR",365,1922,1,1,2011,12,31,2011
"CHN",710,1950,1,1,2011,12,31,2011
"JPN",740,1895,4,1,1945,8,14,2011
"JPN",740,1991,12,11,2011,12,31,2011
